SourceFile,File:FileModifyDate,File:FileSize,PDF:CreateDate,PDF:PageCount
nature09706-s2.pdf,2011:02:16 17:56:05+00:00,24 MB,2010:11:20 11:05:20Z,1258
nature09806-s2.pdf,2011:03:23 17:56:49+00:00,24 MB,2010:12:26 14:12:51Z,926
nature09492-s2.pdf,2010:11:24 17:54:29+00:00,3.4 MB,2010:08:03 09:18:25-04:00,719
nature09530-s5.pdf,2010:11:03 17:57:12+00:00,18 MB,2010:08:27 20:43:12-07:00,576
nature10909-s2.pdf,2012:04:04 17:55:16+01:00,13 MB,2011:12:30 21:25:19Z,555
nature10158-s1.pdf,2014:05:09 09:39:12+01:00,14 MB,2011:04:17 22:15:25Z,500
nature10909-s3.pdf,2012:04:04 17:55:23+01:00,9.1 MB,2012:01:26 20:50:05Z,323
nature11143-s1.pdf,2012:06:20 18:23:38+01:00,33 MB,2012:04:09 10:59:53-05:00,283
nature11245-s1.pdf,2012:09:05 17:55:21+01:00,16 MB,2012:05:04 19:52:20Z,271
nature09472-s1.pdf,2010:12:08 17:55:13+00:00,6.3 MB,2010:08:13 12:48:12-07:00,263
nature10392-s1.pdf,2011:09:21 18:01:15+01:00,7.8 MB,2011:08:03 12:51:42+01:00,243
nature10825-s2.pdf,2012:02:22 17:59:00+00:00,20 MB,2012:02:10 15:45:29Z,234
nature11228-s2.pdf,2012:07:25 17:57:48+01:00,3.8 MB,2012:04:27 11:13:29+02:00,223
nature11681-s1.pdf,2012:12:05 17:57:24+00:00,10 MB,2012:10:16 15:15:40Z,217
nature11680-s1.pdf,2012:12:05 17:57:15+00:00,16 MB,2012:07:04 11:05:21Z,216
nature09669-s1.pdf,2011:02:02 17:55:19+00:00,3.3 MB,2010:11:11 15:39:12Z,207
nature10738-s1.pdf,2012:01:25 18:08:29+00:00,26 MB,2011:11:22 19:30:01-06:00,191
nature10659-s1.pdf,2012:04:02 16:45:21+01:00,9.6 MB,2012:01:07 22:31:56+01:00,182
nature11119-s1.pdf,2012:05:30 17:57:33+01:00,16 MB,2012:05:16 23:36:25+02:00,176
nature09787-s1.pdf,2011:02:16 17:58:27+00:00,3.0 MB,2011:02:03 15:07:02-05:00,172
nature09871-s1.pdf,2011:03:02 17:55:32+00:00,14 MB,2011:01:11 12:19:01-05:00,172
nature11128-s1.pdf,2012:06:28 17:14:20+01:00,12 MB,2012:03:15 16:27:51+01:00,171
nature11518-s1.pdf,2012:10:10 17:58:55+01:00,3.5 MB,2012:08:09 22:20:13Z,171
nature11691-s1.pdf,2012:12:12 17:55:03+00:00,12 MB,2011:11:06 15:59:05Z,158
nature10291-s1.pdf,2011:08:24 17:54:44+01:00,2.9 MB,2011:08:17 11:08:48+01:00,153
nature09587-s2.pdf,2010:12:22 17:58:29+00:00,30 MB,2010:08:20 18:05:55-05:00,151
nature11158-s1.pdf,2012:06:28 17:15:18+01:00,23 MB,2012:06:20 15:42:24+01:00,148
nature09723-s1.pdf,2011:02:09 17:56:18+00:00,5.2 MB,2010:11:15 19:19:33-08:00,146
nature10983-s1.pdf,2012:06:20 18:24:31+01:00,24 MB,2012:04:12 13:04:21-07:00,146
nature10933-s1.pdf,2012:06:20 18:24:33+01:00,22 MB,2012:02:08 17:23:30-08:00,145
nature10166-s1.pdf,2011:06:29 17:57:01+01:00,14 MB,2011:06:20 15:54:46+01:00,131
nature10574-s1.pdf,2011:11:16 17:57:59+00:00,18 MB,2011:10:10 13:34:32+02:00,129
nature10733-s1.pdf,2012:01:18 17:56:36+00:00,13 MB,2011:08:01 17:21:24Z,119
nature11397-s1.pdf,2013:01:23 15:28:54+00:00,5.9 MB,2012:12:19 15:03:34Z,119
nature11413-s1.pdf,2012:10:03 17:57:13+01:00,7.7 MB,2012:08:29 17:53:17+08:00,119
nature11632-s1.pdf,2012:10:31 14:16:47+00:00,4.5 MB,2012:10:19 16:39:13Z,113
nature11677-s1.pdf,2012:12:19 17:55:57+00:00,9.5 MB,2012:11:30 16:11:16Z,112
nature09492-s1.pdf,2010:11:24 17:54:25+00:00,5.0 MB,2010:09:17 13:27:10+02:00,111
nature11241-s1.pdf,2012:08:08 17:55:14+01:00,9.6 MB,2012:07:05 17:03:19+01:00,110
nature11569-s1.pdf,2012:10:24 17:53:50+01:00,9.8 MB,2012:10:16 15:19:58+01:00,109
nature10804-s1.pdf,2012:02:08 18:17:01+00:00,13 MB,2011:12:08 15:12:54+08:00,106
nature10414-s1.pdf,2011:09:21 18:02:27+01:00,6.6 MB,2011:08:22 00:48:11Z,105
nature10251-s1.pdf,2011:08:10 17:50:41+01:00,3.6 MB,2011:07:07 20:53:59+01:00,100
nature10354-s1.pdf,2011:09:12 10:33:08+01:00,4.6 MB,2011:06:27 16:17:17+02:00,100
nature10647-s1.pdf,2011:12:07 17:56:38+00:00,8.6 MB,2011:09:26 09:37:06Z,98
nature11131-s1.pdf,2012:06:28 17:14:25+01:00,4.5 MB,2012:05:22 09:31:49-07:00,97
nature09687-s1.pdf,2011:01:26 17:53:45+00:00,11 MB,2010:11:10 23:45:34Z,96
nature09410-s1.pdf,2010:10:13 17:59:11+01:00,6.4 MB,2010:09:17 11:08:49-04:00,94
nature09957-s1.pdf,2011:10:17 14:26:15+01:00,4.4 MB,2011:05:07 16:25:57-04:00,92
nature10197-s2.pdf,2011:06:22 17:54:04+01:00,13 MB,2011:06:13 16:09:00+01:00,91
nature09534-s1.pdf,2011:05:05 15:45:47+01:00,4.1 MB,2011:03:21 11:49:37Z,90
nature09710-s1.pdf,2010:12:22 17:58:57+00:00,4.5 MB,2010:11:30 07:04:05-05:00,90
nature11041-s1.pdf,2012:07:04 17:57:17+01:00,13 MB,2012:05:04 00:13:40+04:00,88
nature11050-s2.pdf,2012:05:30 17:56:10+01:00,3.3 MB,2012:05:04 15:46:47+01:00,88
nature11798-s1.pdf,2013:02:07 15:41:32+00:00,16 MB,2012:12:07 16:33:44Z,88
nature09624-s1.pdf,2010:12:08 18:00:05+00:00,6.0 MB,2010:10:26 14:52:38-04:00,85
nature11327-s1.pdf,2012:08:01 17:58:41+01:00,21 MB,2012:06:08 15:08:50-04:00,83
nature11543-s1.pdf,2012:11:28 17:53:31+00:00,6.5 MB,2012:08:21 13:12:19+02:00,83
nature10719-s1.pdf,2012:01:18 17:55:37+00:00,5.8 MB,2011:12:15 15:50:37Z,82
nature10725-s1.pdf,2012:01:11 17:57:00+00:00,6.2 MB,2012:01:03 14:53:01Z,82
nature11080-s1.pdf,2012:06:13 18:27:40+01:00,12 MB,2012:03:16 21:31:44Z,81
nature11622-s1.pdf,2013:01:23 15:32:07+00:00,5.4 MB,2012:12:19 14:43:25Z,80
nature10785-s1.pdf,2012:02:29 17:53:01+00:00,3.5 MB,2011:10:26 23:41:01-07:00,79
nature10842-s1.pdf,2012:03:07 17:53:58+00:00,12 MB,2011:12:22 23:38:40Z,79
nature10932-s1.pdf,2012:03:14 17:55:36+00:00,4.1 MB,2012:02:27 09:50:13+01:00,79
nature11583-s1.pdf,2012:11:28 17:53:50+00:00,5.7 MB,2012:09:09 14:48:04-04:00,78
nature09992-s1.pdf,2011:06:22 17:52:15+01:00,1859 kB,2011:02:18 08:08:59-05:00,77
nature10249-s1.pdf,2011:08:17 17:56:33+01:00,16 MB,2011:05:28 08:16:28+09:00,77
nature10648-s1.pdf,2011:12:21 17:55:50+00:00,5.0 MB,2011:10:17 13:35:08-04:00,76
nature10998-s1.pdf,2012:05:16 18:48:42+01:00,14 MB,2012:04:13 16:07:42+01:00,76
nature09837-s1.pdf,2011:03:23 17:57:02+00:00,2.3 MB,2011:01:10 16:42:11-05:00,75
nature10563-s1.pdf,2011:11:02 17:56:38+00:00,8.4 MB,2011:08:27 19:41:43Z,75
nature10880-s1.pdf,2012:03:21 17:54:56+00:00,3.0 MB,2012:02:10 21:36:56-08:00,75
nature11404-s1.pdf,2012:09:26 17:54:26+01:00,16 MB,2012:09:05 11:43:27Z,75
nature10342-s1.pdf,2011:09:07 17:57:09+01:00,8.2 MB,2011:06:24 12:19:52Z,74
nature09921-s1.pdf,2011:04:13 17:58:21+01:00,2.7 MB,2011:04:05 14:36:35+01:00,73
nature10232-s1.pdf,2011:07:13 17:56:50+01:00,10 MB,2011:05:10 08:55:49-04:00,73
nature10811-s3.pdf,2012:02:08 18:23:06+00:00,6.4 MB,2011:12:04 10:26:49-05:00,73
nature11227-s3.pdf,2012:08:08 17:54:14+01:00,3.1 MB,2012:05:09 18:52:11Z,73
nature11629-s1.pdf,2012:12:19 17:55:33+00:00,22 MB,2012:11:13 16:51:38Z,73
nature10625-s1.pdf,2011:12:21 17:54:50+00:00,2.7 MB,2011:11:11 11:51:11Z,72
nature10093-s1.pdf,2013:01:23 15:27:39+00:00,4.3 MB,2012:12:11 14:10:10+09:00,71
nature10532-s2.pdf,2011:10:19 18:07:00+01:00,1734 kB,2011:10:12 16:01:17+01:00,71
nature11174-s1.pdf,2012:07:18 17:54:25+01:00,4.8 MB,2012:06:07 17:05:05+01:00,71
nature11189-s1.pdf,2012:07:04 17:58:02+01:00,14 MB,2012:05:01 20:06:08Z,71
nature11584-s1.pdf,2012:11:28 17:53:59+00:00,13 MB,2012:10:08 15:11:42Z,71
nature10875-s2.pdf,2012:02:15 17:57:23+00:00,1592 kB,2012:02:08 15:34:04Z,70
nature11262-s1.pdf,2012:08:15 17:53:43+01:00,4.7 MB,2012:07:25 14:26:47+01:00,70
nature09984-s1.pdf,2011:06:08 17:53:59+01:00,23 MB,2011:04:21 10:22:59+01:00,69
nature10167-s1.pdf,2012:01:25 18:05:12+00:00,7.8 MB,2011:04:21 16:30:21Z,69
nature10843-s1.pdf,2012:02:29 17:56:35+00:00,16 MB,2011:12:12 10:52:20-05:00,67
nature10736-s1.pdf,2012:01:25 18:06:19+00:00,9.2 MB,2012:01:18 15:19:32Z,66
nature11184-s1.pdf,2012:07:18 17:54:32+01:00,11 MB,2012:05:31 17:25:13-04:00,66
nature10227-s1.pdf,2011:07:20 17:54:29+01:00,15 MB,2011:05:25 15:58:36+09:00,65
nature11661-s1.pdf,2013:01:09 17:53:05+00:00,966 kB,2012:11:28 18:39:43Z,65
nature11125-s1.pdf,2012:07:11 17:59:50+01:00,6.6 MB,2012:05:15 14:41:42+01:00,64
nature10073-s1.pdf,2011:06:16 11:19:40+01:00,12 MB,2011:03:07 22:22:45Z,63
nature11247-s1.pdf,2012:09:05 17:55:22+01:00,1876 kB,2012:08:29 14:52:06+01:00,63
nature11288-s1.pdf,2012:07:25 17:57:55+01:00,4.7 MB,2012:07:16 11:22:26+01:00,63
nature09919-s1.pdf,2011:05:20 09:45:58+01:00,6.7 MB,2011:01:21 21:27:27+01:00,62
nature10272-s1.pdf,2011:08:17 17:57:05+01:00,20 MB,2011:05:24 08:53:01Z,62
nature11412-s1.pdf,2012:10:03 17:57:06+01:00,14 MB,2012:08:13 13:53:09-04:00,61
nature10511-s1.pdf,2011:10:19 18:05:53+01:00,3.3 MB,2011:10:11 12:30:29+01:00,60
nature10808-s1.pdf,2012:02:15 17:56:48+00:00,3.0 MB,2012:01:31 15:39:11Z,60
nature11232-s1.pdf,2012:09:05 17:55:05+01:00,5.4 MB,2012:08:29 12:35:15+01:00,60
nature09504-s1.pdf,2010:12:22 17:54:52+00:00,3.1 MB,2010:09:22 03:45:24-04:00,59
nature09524-s1.pdf,2010:11:17 17:56:55+00:00,14 MB,2010:09:08 17:02:32Z,59
nature09629-s1.pdf,2010:12:22 17:58:46+00:00,1892 kB,2010:10:21 17:04:22Z,59
nature10726-s1.pdf,2012:01:11 17:57:17+00:00,4.8 MB,2011:12:15 12:55:35Z,59
nature11411-s1.pdf,2012:09:12 17:54:03+01:00,3.8 MB,2012:08:09 14:25:55+01:00,59
nature10583-s1.pdf,2011:11:02 17:57:11+00:00,18 MB,2011:09:24 23:10:11+03:00,58
nature09573-s1.pdf,2010:12:15 18:10:12+00:00,9.1 MB,2010:10:01 12:27:22+09:00,57
nature10454-s1.pdf,2011:10:19 18:04:23+01:00,3.1 MB,2011:09:30 12:17:52+01:00,57
nature10989-s1.pdf,2012:05:09 17:54:34+01:00,2.1 MB,2012:03:30 12:22:09+01:00,57
nature09715-s6.pdf,2011:03:23 17:54:38+00:00,223 kB,2010:12:01 17:40:23Z,56
nature09990-s1.pdf,2011:03:23 17:58:16+00:00,26 MB,2011:03:15 16:05:55Z,56
nature10262-s1.pdf,2011:07:20 17:55:55+01:00,19 MB,2011:06:15 00:36:06-07:00,56
nature10533-s1.pdf,2011:11:09 18:09:08+00:00,6.9 MB,2011:09:01 02:54:59Z,56
nature09987-s1.pdf,2011:06:01 17:53:23+01:00,3.2 MB,2011:03:25 16:33:00Z,55
nature10069-s1.pdf,2011:05:11 17:54:46+01:00,1889 kB,2011:03:22 19:26:33Z,55
nature11236-s1.pdf,2012:07:11 18:02:30+01:00,2.6 MB,2012:07:04 15:20:12+01:00,55
nature11252-s1.pdf,2012:07:18 17:55:13+01:00,7.9 MB,2012:07:11 13:45:23+01:00,55
nature10591-s1.pdf,2011:11:02 17:57:13+00:00,1362 kB,2011:10:03 19:50:10-04:00,54
nature11082-s1.pdf,2012:05:16 18:58:12+01:00,6.0 MB,2012:04:04 17:54:10+01:00,54
nature11213-s1.pdf,2012:08:01 17:57:01+01:00,5.3 MB,2012:06:15 15:24:14+01:00,54
nature09708-s1.pdf,2011:02:02 17:56:10+00:00,3.5 MB,2011:01:06 09:50:43-05:00,53
nature10382-s1.pdf,2011:09:21 18:00:57+01:00,14 MB,2011:08:16 21:28:00Z,53
nature10388-s1.pdf,2011:09:21 18:01:04+01:00,3.1 MB,2011:08:25 14:57:27Z,53
nature10390-s1.pdf,2011:09:28 18:03:48+01:00,4.0 MB,2011:07:15 10:52:37-04:00,53
nature10288-s1.pdf,2011:07:27 17:54:01+01:00,1640 kB,2011:07:20 15:06:09+01:00,52
nature10351-s1.pdf,2011:08:17 17:59:52+01:00,9.7 MB,2011:07:15 16:11:03Z,52
nature10879-s1.pdf,2012:03:14 17:55:25+00:00,24 MB,2012:01:10 18:17:04Z,52
nature10909-s1.pdf,2012:04:04 17:55:04+01:00,5.5 MB,2012:01:30 16:23:38-05:00,52
nature10995-s1.pdf,2012:05:02 17:54:55+01:00,3.2 MB,2012:03:28 14:08:37Z,52
nature09689-s1.pdf,2011:02:16 17:54:54+00:00,1248 kB,2010:11:13 16:53:24-08:00,51
nature09700-s1.pdf,2011:01:05 17:54:14+00:00,2.9 MB,2010:12:16 10:00:21-05:00,51
nature10113-s1.pdf,2011:07:06 17:55:13+01:00,4.3 MB,2011:05:27 15:14:50+01:00,51
nature10915-s1.pdf,2012:04:04 17:55:50+01:00,9.3 MB,2012:04:04 11:15:12+01:00,51
nature10155-s1.pdf,2011:06:08 17:57:08+01:00,3.0 MB,2011:06:01 16:30:05+01:00,50
nature10311-s1.pdf,2011:08:24 17:54:54+01:00,5.8 MB,2011:07:07 19:47:18-04:00,50
nature10336-s1.pdf,2011:08:10 17:51:30+01:00,2.8 MB,2011:06:22 23:19:51Z,50
nature10936-s1.pdf,2012:04:04 17:56:07+01:00,7.7 MB,2012:01:09 19:52:22Z,50
nature11467-s1.pdf,2012:09:19 17:54:03+01:00,1622 kB,2012:08:21 00:34:38-04:00,50
nature09582-s1.pdf,2010:11:10 17:56:46+00:00,1162 kB,2010:11:03 11:08:39Z,49
nature09609-s1.pdf,2011:01:12 17:53:11+00:00,1615 kB,2010:10:13 19:50:31Z,49
nature10004-s1.pdf,2011:05:25 17:53:47+01:00,14 MB,2011:03:07 13:46:40+08:00,49
nature11248-s1.pdf,2012:08:15 17:53:11+01:00,9.5 MB,2012:06:22 13:05:44+01:00,49
nature10150-s1.pdf,2011:06:08 17:57:03+01:00,5.2 MB,2011:04:11 10:37:12+02:00,48
nature10259-s1.pdf,2011:08:10 17:50:48+01:00,2.2 MB,2011:08:03 16:39:14+01:00,48
nature10374-s1.pdf,2011:08:24 17:57:07+01:00,3.5 MB,2011:08:03 16:56:12-04:00,48
nature11290-s1.pdf,2012:08:29 17:54:16+01:00,4.4 MB,2012:07:03 11:59:35+01:00,48
nature11549-s1.pdf,2012:10:31 14:16:01+00:00,4.7 MB,2012:10:12 15:05:09+01:00,48
nature11582-s1.pdf,2012:10:31 14:16:40+00:00,6.7 MB,2012:10:29 14:42:35Z,48
nature11606-s1.pdf,2012:12:05 17:56:11+00:00,1991 kB,2012:10:05 12:08:49+01:00,48
