SourceFile,File:FileSize,PDF:CreateDate,PDF:PageCount
10.7717%2Fpeerj.1196@Raw_Transcription_Text.pdf,1392 kB,2014:12:18 13:30:13+10:00,335
10.7717%2Fpeerj.1118@Morrison_et_al._Cougar_GPS_data_PeerJ.pdf,409 kB,2015:06:12 14:14:40-07:00,191
10.7717%2Fpeerj.1038@ul_sens_fmri_supp_stim_set.pdf,12 MB,,120
10.7717%2Fpeerj.455@all_sequence_logos.pdf,913 kB,2014:04:19 13:43:36+03:00,119
10.7717%2Fpeerj.171@Supp_S1.pdf,668 kB,2013:06:03 19:53:38Z,89
10.7717%2Fpeerj.1361@Neurophysiology_of_meaning_SI_2015_Re_rev.pdf,417 kB,2015:10:24 18:24:53+02:00,71
10.7717%2Fpeerj.1221@SupplementalInformation2.pdf,17 MB,2015:08:19 13:25:20+02:00,68
10.7717%2Fpeerj.199@supplemental_table_s3.pdf,594 kB,2013:08:23 16:52:06+09:00,56
10.7717%2Fpeerj.1397@Supplementary_Table_S3_Triturus_vertebral_formulae.pdf,2004 kB,2015:10:25 10:51:58+01:00,43
10.7717%2Fpeerj.447@Meadow_etal_Phones_Supplemental_R_Analysis.pdf,594 kB,2014:05:29 15:50:15-07:00,42
10.7717%2Fpeerj.456@all_mSD_Heatmaps_V2.pdf,425 kB,2014:06:15 14:04:00+03:00,40
10.7717%2Fpeerj.501@Cuticle_histology.pdf,4.7 MB,2014:06:09 14:53:48-04:00,40
"10.7717%2Fpeerj.329@File_S2._Raw_data_and_supplementary_information_for_results_(Tables_S1__S3,_Figures_S1__S23).pdf",4.0 MB,2014:02:14 16:24:50+01:00,37
10.7717%2Fpeerj.177@Supplemental_File_S2.pdf,1417 kB,2012:10:14 12:25:57-04:00,35
10.7717%2Fpeerj.803@Appendices_for_L._sericata.pdf,564 kB,2014:11:10 18:03:00-06:00,34
10.7717%2Fpeerj.1310@Supplementarytable2.xlsx.pdf,285 kB,2015:07:19 10:53:20Z,32
10.7717%2Fpeerj.1299@Shan_RawData.pdf,817 kB,2015:03:25 13:11:26-06:00,31
10.7717%2Fpeerj.785@peerj-review-2365-Supplemental_file_Total_body_water_and_Bioelectrical_impedance_data.pdf,293 kB,2014:07:14 09:51:47Z,31
10.7717%2Fpeerj.920@S1-Simulation.pdf,1531 kB,2014:06:11 20:18:41+12:00,31
10.7717%2Fpeerj.1368@CTRL02_protocol.pdf,254 kB,2015:07:13 16:37:32+01:00,30
10.7717%2Fpeerj.511@FileS2.pdf,738 kB,2014:06:19 22:28:41Z,30
10.7717%2Fpeerj.327@Atoll_Res_Bull_1991_Dai.pdf,2.9 MB,2006:08:04 00:14:25+09:00,29
10.7717%2Fpeerj.351@rap002_protocol.pdf,1779 kB,2014:01:17 11:37:11,29
10.7717%2Fpeerj.511@FileS1.pdf,931 kB,2014:06:19 22:31:37Z,29
10.7717%2Fpeerj.306@Conole.SUPPLEMENTARY_TEXT.v2.pdf,1613 kB,2014:01:28 06:17:43Z,28
10.7717%2Fpeerj.297@Justine_et_al_-_Le_ver_plat_de_Nouvelle-Guinee_Platydemus_manokwari_en_France.pdf,856 kB,2014:02:24 10:26:24+01:00,27
10.7717%2Fpeerj.511@FileS3.pdf,693 kB,2014:06:19 22:26:19Z,27
10.7717%2Fpeerj.576@Supplemental_file_S1.pdf,8.4 MB,2014:08:25 09:20:52+10:00,27
